Từ	Nghĩa
Pŏ (đgt)	Bứng. Po\ kyâo ba pla ti anôk mkăn: Bứng cây đem trồng nơi khác.
Pŏk 	I. (đgt) mở. Po\k [ăng bhă: mở cửa.
	Ii. (tl) từ dùng để đếm số trang
Pŏk ƀai (đgt)	Mở rộng.
Pŏk phai ( đgt)	Mở mang.
Pŏk pui kmlăi (đgt)	Bật đèn điện.
Pô (dt)	Chủ. Pô sang: Chủ nhà.
Pô krơ̆ng (dt)	Người làm chứng.
Pô lăn (dt) 	Chủ đất (về mặt tinh thần).
Pô mphŭn čưm (dt)	Người sáng lập.
Pô phŭn (dt)	Chủ nhân. Pô phu\n ala ]ar: Chủ nhân đất nước.
Pôk (dt)	1. Bẹ. Pôk mnang: Bẹ cau.
	2. Bưn pôk: Vườn tược.
Pông (dt)	Lồng. Pông mnu\: Lồng gà. Kđeh pông: thịt thăn.
Pông êdeh (dt)	Bánh xe. Pông êdeh pêng pông: Bánh xe bị meôo.
Pông kruê (dt) 	Tay quay xa.
Pơ (tt)	Hô. Eùgei pơ: Răng hô.
Pơ pŭm (đgt)	Xoã xuống. Dhan kyâo pơ pu\m: Cành cây xoã xuống.
Pơt (tt)	Ngăn ngủn. {ar m’iêng pơt: Mặc váy ngăn ngủn.
Pơ̆i hla (đgt)	Chạy diều.
Pơ̆k (đgt)	Động tác dệt vải.
Pơ̆k mñam (dt)	Dệt vải. Yan bhang phung mniê Êđê khăng pơ\k myûam: Mùa hạ phụ nữ thường dệt vải.
Pơ̆ng (đgt)	1. Đóng. Pơ\ng msei kđyøn: đóng đinh. 
	2. Giàn đựng cơm trong nhà mồ. Ngă pơ\ng: Làm lễ bỏ mả.
Pra (dt)	Giàn. Pra êyăn: Giàn mướp; Pra pui: Giàn bếp.
Prač (tt)	(Truông) phạch.
Prah (đgt)	1. Dập. Prah pui: Dập lửa.
	2. Đập. Prah mdiê: đập luôa.
Prah prač (tt)	Vương vãi. Ngă prah pra]: Làm vương vãi.
Praih (tt)	Rơi vãi. EYÕ praih êsei: Beô làm rơi vãi cơm.
Pral (tt)	Nhanh. Eùbat pral: đi nhanh.
Praĭ (dt)	1. Mỡ. Prayø u\n: Mỡ heo.
	2. Eùa prayø: Dầu. Eùa prayø êtak lăn: Dầu đậu phụng.
Pram (đgt)	Rấp (lấp). Pram êruê: Rấp lối đi. Prah êjam pram êruê: Hành vi thái độ chống đối.
Prang (đgt)	Chỉ động tác gà mẹ xù lông xoè cánh bảo vệ con.
Prao 	Tên chung của các lịi răn to. Prao ju\: Răn hổ trăn (hổ đất); Prao hbâo: Răn hổ mang.
Pră 	I. (đgt) tít ra. Pră [le\ êa k’ho\: tít mồ hôi ra.
	2. Rơi tõm. Le\ pră hlăm êa: Rơi tõm xuống nước.
	Ii. (dt) bạc (kim loại).
Prăk (dt)	1. Tiền. Prăk mlan: Tiền lương tháng. 
	2. Bạc. Kông prăk: Vòng bạc.
Prăk hliê (dt)	Tiền lẻ.
Prăk kăk (dt)	Tiền bạc. Amâo mâo prăk kăk: Không có tiền bạc. 
Prăm (tt)	Thâm
Prăm jŭ (tt) 	Thâm tím. {o# mta prăm ju\: Mặt mũi thâm tím. 
Prăn (dt)	Vết lăôûn do roi đánh.
Prăng (dt)	Pháp. Ala ]ar Prăng: Nước Pháp; Phung Prăng: Người Pháp.
Prăp (đgt)	Sửa soạn. Prăp m’iêng ao: Sửa soạn váy áo.
Prăp êmiêt (đgt)	Chuẩn bị. 
Prăt (tt) 	Xơ xác. Ana kyâo prăt hla: Cây xơ xác lá.
Pre (dt)	Thăng
Prĕ prĕ (tt)	1. Lâm râm. Hjan pre\ pre\: Mưa lâm râm.
	2. Nho nhỏ. La] pre\ pre\: Nói nho nhỏ.
Pri (Pr) (dt)	Phần thưởng. Aáu mâo mă pri: Nó được phần thưởng.
Pri pria (đgt)	Xoè. M’iêng pri pria: Váy xoè.
Priêl (đgt)	Chọc tức. Đăm priêl kâo ôh: đừng chọc tức tôi.
Priêng (dt) 	Thính (gạo rang xay). }yøm êmô lu\k priêng: Thịt bò trộn thính.
Prih (tt)	Tua tủa. Dhan kyâo prih êruê: Cành cây tua tủa gai.
Prin prun (tt)	Khệ nệ. Tian pro\ng prin prun: Bụng to khệ nệ.
Pring (đgt)	Tập bay. }yøm pring êđai: Chim tập bay cho chim con.
Priu (đgt)	Nổi da gà
Priu ê-ăt (tt)	Eûoûn lạnh. Asei mlei priu ê- ăt: cơ thể ớn lạnh.
Prĭl (dt)	Tro\ng pryøl: Cà rí. {ơ\ng djam pryøl: aûn canh cà rí.
Proh (đgt)	Xói mòn. Eùa proh lăn jăk: Nước xói mòn đất tốt.
Proh ĭ (đgt)	Sâoãy thai.
Prŏng (tt)	To
Prŏng prĭn (tt) 	To lớn.
Prŏng pơ̆k (tt)	To bản. Eùgei pro\ng pơ\k: Răng to.
Prôč (dt)	Ruột. Prô] mda: Ruột non. Prô] khua: Ruột già.
Prôč êbeh (dt)	Ruột thừa.
Prôk (dt)	Con sóc. Prôk djo\ [ưi: Con sóc truông bóy.
Prơ̆ng 	I. (dt)
	Ii. (tt) dữ. Mnu\ ana prơ\ng: gà mái dữ.
Prơ̆ng puôt (dt)	Cái giỏ để tuốt luôa.
Pruč (tt)	Toẹt. K]uh pru]: Nhổ toẹt.
Pruê (đgt)	Rải
Pruê hbâo (đgt)	Bón phân.
Pruê̆ (dt)	1. Câu. Prue# blu\: Câu nói. 
	2. Dãy. Prue# mdo#: Dãy ghế.
	3. Dòng. }ih sa prue#: Viết một dòng.
	4. Hàng. Dăp prue#: Xếp hàng.
Pruih (đgt)	Xịt
Prung (dt)	Cái gùi đan thưa.
Prŭ prŭ (đgt) 	Aòo ào. Hjan pru\ pru\: Mưa ào ào.
Prŭk (đgt)	Phập
Prŭng (đgt)	Xua
Prŭt, pruăt (đgt)	Đứt phăng. Koh tloh pru\t: chặt đứt phăng.
Prưh (đgt)	Đuổi đi. Yang prưh: thần đuổi đi.
Prưng prang ( đgt) 	Xua đuổi. Ya ngă ih prưng prang gơ\: Tại sao anh xua đuổi nó.
Pu pi (tt)	Mũm mĩm. Miêng pu pi: Má mũm mĩm.
Puah (đgt)	Thiến. Ayo\ng kâo puah u\n: Anh tôi thiến heo.
Puăn (dt)	Djam puăn: Rau muống.
Puăng (dt)	Điểm. Puăng jăk: điểm tốt.
Puh (đgt)	I. 1. Lùa. Puh êmô kbao: lùa trâu bò.
	2. Thổi. Angyøn puh knam nao kơ yu\: Gió thổi mây đen về phía tây.
	Ii. (tt) bạc màu. Ao puh: aoûo bạc màu.
Pui (dt)	Lửa. Răm pui
Pui ƀơ̆ng (đgt)	Cháy. Pui [ơ\ng dliê: Cháy rừng. 
Pui hrip (đgt)	Điện giật.
Pui kƀong ( dt)	Đuốc. Djă pui k[ong nao mtrang ajik: cầm đuốc đi soi ếch.
Pui kmlă (dt)	Điện. Ară anei djăp [uôn sang mâo leh pui kmlă s’ayø: hiện nay các buôn làng đều đã có điện.
Pui ktuê (đgt)	Cháy lan.
Pui pit (dt)	Đèn pin.
Puih (dt)	Đông. Yan puih: mùa đông. Angyøn puih: gió đông.
Pum (dt)	Bụi
Pum kyâo (dt)	Bụi cây. Bhyøt pum: Bụi rậm; Pum êruê: Bụi gai.
Pum yă pum yai (tt)	Um tùm. Kyâo mtâo pum yă pum yai: Cây cối um tùm.
Pun 	I. (dt) }yøm pun: con cheo. 
	Ii. (đgt) uoù ấm. Ana mnu\ pun êđai ti gu\ siap: gà mẹ ủ ấm con dưới cánh.
Puôr (dt) 	Eùa puôr: Mồ hôi trộm.
Puôt (đgt)	Tuốt. Puôt mdiê: Tuốt luôa.
Puôt wiă (đgt)	Gặt hái.
Put (dt)	Ana put: Cây bấc.
Put mtuh (dt)	Thuốc nổ.
Pŭ (đgt) 	1. Bế
	2. Bê. Pu\ klo\ boh tâo: Bê cục đá. 
	3. Cất. Pu\ đrư\: Cất vó.
Pŭk (đgt)	Quậy. Eùman pu\k êa: Voi quậy nước.
Pŭk ală (dt)	Mi măt. Mlâo pu\k ală: Lông mày.
Pŭk piăk (tt)	Nhợt nhạt. {o# mta pu\k piăk: Mặt mũi nhợt nhạt.
Pŭl (pht)	Bệt.
Pŭng (dt)	Hbei pu\ng: Khoai từ.
Pŭñ pañ, puñ pêñ (tt)	Đen đủi. {o# mta pu\yû payû: mặt mũi đen đủi.
Pŭr (dt)	Răôûm. Mlan pu\r: Trăng răôûm.
Pưč (đgt) 	Lột xem. Pư] ktơr: Lột xem băp.
Pưh (đgt)	1. Quạt. Pưh pui: Quạt lửa.
	2. Thổi. Angyøn pưh: Gió thổi.
Pưi (đgt)	Vóy. Pưi kngan: Vóy tay.
Pưk (dt)	Cái chòi. Pưk hlăm hma: Chòi trên róy.
Pưng (đgt)	Tạt đi. Angyøn pưng: Gió tạt đi.
Pưu pưu (tt)	(Nói) to. Blu\ pưu pưu: Nói to.
	 
R	 
	 
Rač (đgt)	1. Bứt. Ra] boh nu\t ao: Bứt nuôt áo.
	2. Suốt
Rah (đgt)	Gieo. Rah mdiê: Gieo luôa.
Rai 	I. (dt) anak rai: con rồng.
	Ii. (tt) tan nát. Phung roh bi rai [uôn sang: bọn giặc gây tan nát làng xóm.
Rai brŭ (tt)	Thối nát.
Rai lik (tt) 	Tan nát.
Rai răk (tt) 	Tan tành. K]ok m]ah rai răk: Ly vỡ tan tành.
Rai tuič (tt)	Tan rã. Eùpul di yûu rai tui] leh: Nhóm của họ đã tan rã.
Raih 	I. (dt) bươi ra.
	Ii. (tt) thạo. Aáu thâo raih klei êđê: nó biết thạo tiếng êđê.
Raih tô (dt)	Anh em cọc chèo (đồng hao).
Rak (tt)	Hườm. Boh suai rak kyûyø: Quả xịi vàng hườm.
Ram (tt)	Tàn. Pui ram: Lửa tàn.
Ram rai (tt)	1. Tan hoang. Ram rai  [uôn sang: Tan hoang buôn làng.
	2. Tàn lụi.
Rang  (đgt) 	1. Phơi. Ala kbiă rang mđiă: Con răn ra phơi năng.
	2. Bày ra. Rang mnơ\ng ]hyø: Bày mnơ\ng ]hyø: Bày hàng bán.
Rang angĭn (đgt)	Hóng gió
Rañ (tt)	1. Căng. Ksâo rayû: Vuô căng sữa.
	2. Nghiện. Rayû kpiê: Nghiện rượu.
Rao (đgt)	Rửa. Rao ]hiên mngan: Rửa cheôn bát.
Ră (tt)	Tham. Ră [ơ\ng: Tham ăn.
Ră ră (tt)	Rả rích. Adiê hjan ră ră: Trời mưa rả rích.
Răk (đgt)	1. Kể. Lo\ răk: Kể lại. 
Răk tuič (đgt)	Thuộc lòng. Klei hriăm răk tui]: Bài học thuộc.
Răm pui (đgt)	Nhóm lửa. Amyø kâo răm pui: Mẹ tôi nhóm lửa.
Răng (đgt)	Giữ. Răng pưk sang: Giữ nhà cửa.
Răng kriê (đgt)	Giữ geãn. Răng kriê klei bi mdoh asei mlei: Giữ geãn vệ sinh thân thể.
Răng mgang (đgt)	Phòng ngừa. Răng mgang klei ruă: Phòng ngừa bệnh tật.
Răng pioh (đgt)	Lưu giữ (lưu truyền).
Răp răp (tt)	Ra rả. Blu\ răp răp: Nói ra rả.
Reh (đgt)	1. Căt. Reh ]hum ao: Căt quần áo.
	2. Thái. Reh hăt: Thái thuốc lá.
Riap (đgt)	(đan) Lát. Tria sang riap ho\ng kram: Sàn nhà lát băôûng tre.
Riă (đgt)	Ninh
Riăk riăk (tt)	Reng reng. Eùriâo myûê riăk riăk: Lục lạc kêu reng reng.
Riăng (đgt)	Dăt (tay). Riăng hđeh ti kngan: Dăt trẻ trong tay.
Riăp riăp (tt)	Rào rào. Hjan riăp riăp: Mưa rào rào.
Riêk (đgt)	Rạch. Reh kdô: Rạch tuôi.
Riêl (tt)	Leã lợm. 
Riêm (đgt)	Viền. Riêm kkuê ao: Viền cổ áo.
Riêng gah (tt)	Xung quanh. Sang riêng gah: Nhà xung quanh.
Riêu (dt)	Cái gùi của người Jrai.
Ring 	I. (đgt)1. Bi ring: đổi công.
	2. Hriăm ring: Tập đi.
	Ii. (tt). Xiêu vẹo. Sang ring: nhà xiêu vẹo.
Ring ba (đgt)	Deãu dăt. Amai ring ba adei: Chị deãu dăt em.
Ring rang (tt) 	Loạng choạng. Eùbat ring rang: đi loạng choạng.
Riŏ (đgt)	Nghiến
Rit (đgt)	Xích lại. Rit giăm ti anei: Xích lại gần đây.
Riu (đgt)	Rê. Riu mdiê: Rê luôa.
Riu yang (đgt)	Cuông giàng.
Rĭng 	I. (đgt) 1. Nộp. Ryøng jia: thu thuế. 
	2. Chiêu mộ
	Ii. (dt) bộ. Sa ryøng ]ing: một bộ chiêng.
Rĭng riâo (dt)	Chũm choẹ
Rĭng prăk (đgt)	Thu tiền.
Rĭng rai (dt) 	Con ve (sầu). Ryøng rai myûê hao hao: Ve kêu ầm ĩ. 
Rĭt (đgt)	Xê
Roh (dt)	1. Giặc. Phung roh măk [ai snăk: Bọn giặc rất tàn bạo.
	2. Reãa. Roh hma: Reãa (beãa) róy; Jah roh: Phát beãa (reãa) róy.
Roh gah (dt) 	Giặc giã.
Rom (dt)	Kpiê rom: Rượu rum.
Rŏng (dt)	Lưng. Ro\ng ku\ng: Lưng còng.
Rŏng jơ̆ng (dt)	Mu bàn chân.
Rŏng lăn (dt) 	Mặt đất.
Rŏng rai (dt)	Chít (sau chuôt).
Rŏng rĕ (dt)	Chuôt. (}ô: Cháu; }e\: Chăt; Ro\ng re\: Chuôt).
Rô (dt)	Chuồng gia cầm. Rô mnu\: Chuồng gà. Rô bip: Chuồng vịt.
Rôč (đgt)	1. Rơi. Rô] êa ală: Rơi lệ.
	2. Nhỏ giọt. Phin kphê rô]: Phin cà phê nhỏ giọt.
Rôk (đgt)	Đi qua đám đông. Đyø êlan ôk rôk êlan gah: đi từ phía hiên sau qua phía hiên trước.
Rông (đgt)	Nuôi. Rông anak: Nuôi con; Pô rông: Người nuôi.
Rông ba (đgt)	Nuôi nấng.
Rông mnơ̆ng (dt)	Chăn nuôi.
Rô̆(đgt) 	Vượt qua. Ro# bhyøt pum: Vượt qua bụi rậm.
Rơ riăp (đgt)	Rào rào. Hjan rơ riăp: Mưa rào rào.
Rơ riêm (tt)	Chi chít. Boh nut ao rơ riêm: Nuôt áo chi chít.
Rơ rôč (tt)	Ròng ròng. Eùrah [le\ rơ rô]: Máu chảy ròng ròng.
Rơi (tt) 	Vừa thưa vừa hô. Eùgei rơi: Răng vừa thưa vừa hô.
Rơ̆k (dt)	Cỏ. Rơ\k mda: Cỏ non.
Rơ̆k sĭk (dt)	Cỏ may.
Rơ̆k tơ̆k (dt)	Cây cỏ. Yan hjan rơ\k tơ\k mda djưt: Mùa mưa cây cỏ xanh tươi.
Rơ̆ng (tt)	Bền
Ru (đgt)	Đổ từ chai
Ruah (đgt)	Chọn lọc. Ruah mjeh: Chọn giống.
Ruah khua (đgt)	Bầu cử. Nao ruah khua: đi bầu cử.
Ruah mă (đgt)	Chọn lấy.
Ruă (đgt)	1. Đau. Ruă jơ\ng: đau chân; Ruă tian: đau bụng.
	2. Bệnh. Klei ruă: Bệnh.
Ruă duam (đgt)	Đau ốm. Aáu khăng ruă duam: nó thường đau ốm.
Ruă kjham (đgt)	Đau nặng.
Ruă tuit (đgt) 	Đau quặn.
Ruăt (tt)	Vội. Aáu ruăt nao mă bruă: Nó vội đi làm việc.
Ruăt kuăt (tt)	Vội vàng. Ti ih nao ruăt kuăt anăn: Anh đi đâu mà vội vàng thế.
Ruê (dt)	Con ruồi. Đăm brei ruê gam hlăm mnơ\ng [ơ\ng: đừng cho ruồi đậu vào thức ăn.
Ruêh (đgt)	Sờ. Ruêh ko\: Sờ đầu.
Ruê̆ ( đgt)	1. Kết thuôc. Rue# gưl hriăm: Kết thuôc khí học.
	2. Đi thành đàn. Hdăm rue# nao kơ [ăng: Kiến bò về hang.
Ruh (đgt)	1. Mở ra. Ruh hruh [êyû: Mở gói bánh.
	2. Gỡ
Ruh ksiêm (đgt)	Nhận xeôt.
Ruh rah (tt)	Lai rai. Hjan ruh rai: Mưa lai rai.
Ruh ruah (pht)	Rục rịch. 
Rui (đgt)	Bò. Hđeh điêt hriăm rui: Em beô tập bò.
Ruih (dt)	Ghẻ. Aáu bi ruih: Nó bị ghẻ.
Ruih keh (dt)	Ghẻ lở.
Ruôm (tt)	Tấy. Jơ\ng bo\k ruôm: Chân sưng tấy.
Ruôp (pht) 	Mãi
Ruôt (đgt) 	Thăt. Ruôt kkuê êmô: Thăt cổ bò.
Rup (dt)	1. Heãnh. Mă rup: Chụp heãnh; }ih rup: Vẽ heãnh. 
	2. Tượng. Rup hlăm msat: Tượng nhà mồ.
Rŭ (đgt) 	1. Nhổ. Ru\ kpơ\ng: Nhổ gốc cây.
	2. Nhuô. Eùgei mrâo ru\: Răng mới nhuô.
	3. Vực dậy
	4. Bứng. Ru\ ana kyâo: Bứng cây.
	5. Nâng. Amai êbuh êdei ru\: Chị ngã em nâng.
Rŭ êmŏng (tt) 	Nở nang. Asei mlei ru\ êmo\ng: Thân heãnh nở nang.
Rŭ ênua (đgt) 	Trả thù. 
Rŭ mdơ̆ng (đgt)	Xây dựng. Ru\ mdơ\ng pưk sang: Xây dựng nhà cửa.
Rŭng	I. (tt)  rối
	Ii. (dt) sang ru\ng: nhà bỏ hoang.
Rŭng răng (tt)	Rối ren. Yang [uôn ru\ng răng: Xã hội rối ren.
Rưng (tt)	Thưa. Eùgei rưng: Răng thưa.
Rưng ƀhưng (tt)	Thưa thớt. Pưk sang rưng [hưng: Nhà cửa thưa thớt.
	 
S	 
	 
Sa (dt)	Mrô sa: Số một. Knăm sa
Sa ai (tt)	Một lòng
Sa ƀai (dt)	Cái dũa.
Sa hnơ̆ng mĭn (tt)	Nhất trí.
Sač 	I. (dt) ana sa]: cây dâu da; boh sa]: quả dâu da.
	Ii. (đgt) sa] êa: tát nước; sa] yao: đánh băt cá.
Sah	I. (đgt) mài. Sah dho\ng: mài dao.
	Ii. (tt) nhạt
Sah brah (tt)	Rời rạc.
Sai (đgt)	Rải. 
Sai êa mah (đgt)	Thếp vàng.
S’aĭ (pht)	Đều
Sak (đgt)	Keôo. Sak [ăng bhă: Keôo cửa; Sak klei sak: Keôo dây keôo (Pheôc mơ tuya).
Sang (dt)	1. Nhà. Sang tlô: Nhà vệ sinh.
	2. Rạp. Sang mdah rup: Rạp chiếu bóng.
	3. Chùa. Sang yơng: Chùa.
	4. Tháp. Sang tuôr: Tháp.
Sang aê diê (dt)	Nhà thờ.
Sang dăng kông (dt)	Bưu điện.
Sang dhar kreh (dt)	Nhà Văn hí.
Sang êa drao (dt)	Bệnh viện.
Sang kahan (dt) 	Trại lính.
Sang kưt mmuiñ (dt)	Rạp hát.
Sal đrao (dt)	Lưỡi nứa săc (beôn).
Sar (dt)	1. Sar kyâo: Lõi cây. 
	2. Sar boh kruê: Cuộn sợi; Sar kruê: Mũi quay
Să 	I. (dt) (yu) xã. Să }ư\ eùbur: xã }ư\ eùbur.
	Ii. (đt) đan. Ama kâo să yûuăl: bố tôi đan lưới; să wông êman: buộc bành voi.
Săl (đgt)	Nheôt chặt. Săl ktơr hlăm klu\ng: Nheôt chặt băp vào bao.
Săl wăl (tt)	Chập choạng. Mmăt săl wăl: Chập choạng tối.
Săm dah (pht)	Tuy nhiên.
Săm dêč (dt)	Ana săm dê]: Cây săm dê].
Săm muôr (dt) 	Giê săm muôr: Cây chọc lỗ tỉa luôa.
Săn (dt)	Cây hương. Kyâo săn: Gỗ hương.
Săn asei mlei (đgt)	Hy sinh.
Săng (đgt)	Hiểu. Ih thâo săng mơ\?: Anh có hiểu không?
Săng đai (dt)	Dây xích. Mă klei săng đai kă asâo: Lấy dây xích buộc chó.
Săp 	I. (dt) khói. Săp pui: khói lửa.
	Ii. (đgt) che
Săt (đgt)	1. Veôn. Săt m’iêng kơ dlông [iă: Veôn váy cao một tí.
	2. Teôm. Săt [u\k bi siam: Teôm tóc cho đẹp.
	3. Căt
Sbah (đgt)	Lăn đùng. Le\ buh sbah: Ngã lăn đùng.
Sdăk sdai 	Ngả rạ. Mnuih djiê sdăk sdai: Người chết như ngả rạ.
Seh (đgt)	Thảy
Seh soh (tt)	Sai sót. Kâo ngă seh soh leh: Tôi làm sai sót rồi.
Sgŏng (dt)	Giây. Sa mnyøt mâo năm pluh sgo\ng (1 phuôt = 60 giây).
Si, si ngă (đt)	Thế nào.
Si ke (dt)	Xeã ke.
Si măng (dt) (Pr)	Xi măng.
Si tô hmô (dt)	Ví dụ.
Siam (tt)	Đẹp. Mnga anei siam snăk: bông hoa này rất đẹp.
Siam sĭn (tt)	Đẹp đẽ. 
Siam siăn (tt)	Chẳng đẹp.
Siap (dt)	Cánh. Mlâo siap ]yøm: Lông cánh chim; }yøm phiơr ho\ng siap: Chim bay băôûng cánh.
Siă (đgt)	Sát. Kkui siă lăn: Cuôi sát đất.
Siăp 	I. (dt) con trai (ngao).
	Ii. (tt) luôt. Klu\n siăp: ngập luôt.
Siêk (đgt)	Tách ra. Siêk đue# mdhê: Tách ra riêng.
Siêng (đgt)	Neôm. Siêng jam phiơr: Neôm dĩa bay.
Siêt 	I. (tt) híp. Ală siêt: măt híp. 
	Ii. (đgt) buộc. Siêt bu\ng ho\ng hwiê: buộc gùi băôûng mây.
Sim (đgt)	Chêm. Ama kâo sim kgă: Bố tôi chêm xà gạc.
Sin (dt)	Ngan. Sang kâo rông tlâo drei sin: Nhà tôi nuôi ba con ngan.
Sip sap (tt)	Cẩu thả. Mă bruă sip sap: Làm việc cẩu thả.
Sir (tt)	1. Kín. Găm bi sir: đậy cho kín.
	2. Liền. Anôk êka sir leh: Vết thương đã liền.
Siu (dt)	1. Cây trong bộ khung cửi dệt thổ cẩm.
Sĭ (đgt)	1. Lẹm. Lam syø: Dao lam lẹm.
	2. Khía. Dho\ng syø: Dao khía.
Sĭk (dt) (Pr)	1. Đường. Kbâo pioh ngă syøk: Mía để làm đường. 
	2. Rơ\k syøk: Cỏ may.
	3. Kbhoh syøk: Nhiều bọt.
Sĭn kŏ (đgt)	Chóng mặt.(chíng váng)
Sĭng (dt)	Aê syøng: Sư tử (cách gọi sư tử trong truyện cổ tích).
Sĭr (tt)	(Nhanh) Thoăt. Syør kơ anei syør kơ adih: Thoăt bên này thoăt bên kia.
Sĭt (pht)	Thật.
Sĭt dah (pt) 	Chăc răôûng.
Sĭt êmĭt (tt)	Thật chính xác
Sĭt nik (tt)	Chăc chăn.
Sĭt suôr (tt)	Chân thành.
Smŭk (dt)	Ana smu\k: Cây tai ngheô.
Snăk (pht)	Rất.
Snăk s’ưn (pht)	Rất nhiều.
Snăn (đt)	Như thế đó
Snei (đt)	Thế này. 
Soh (tt)	Sai. Klei soh: Lỗi.
Sŏng (dt)	1. So\ng abăn: đường may nối giữa hai tấm của một cái chăn thổ cẩm. 
	2. Uyõn so\ng: Heo nhỡ.
Sô 	I. (dt) (yuăn) cái xô. Sô mgơ\ng êa: xô đựng nước.
	Ii. (tt) cũ. Eùdeh sô: xe cũ.
Sô siă (tt)	Cũ kĩ
Sôč klei (đgt)	Tuột ra.
Sôk 	I. (dt) nhau thai
	Ii. (đgt) thụi (băôûng cây). Sôk ti ro\ng: thụi vào lưng.
Sông (đgt)	Kể lể công cán
Sô̆	I. (đgt) đụng
	Ii. (đgt) truông phong.
Sơ lĭp (dt) (Prăng)	Quần lót.
Sơh (pht)	Từ dùng để đuổi chim
Sơ̆k (dt)	Cái gùi nhỏ. Djă ti sơ\k
Sơ̆ng (đgt)	1. Đong. Sơ\ng braih: đong gạo.
	2. Lia
Srai (đgt)	Vãi
Sră (đgt)	Phóng. Sră kju: Phóng lao.
Srăng (pht)	Sẽ.
Srêñ (dt)	Thầu dầu. Ana srêyû: Cây thầu dầu; Boh srêyû: Quả thầu dầu.
Sruah sruah 	Không có. Nao kơ anei sruah
Sruê (dt)	Sởi. Hđeh m[le\ sruê: Beô lên (mọc) sởi.
Srŭp (đgt)	Luôt. Klu\n sru\p hlăm êa: Ngập luôt dưới nước.
Su (dt)	Pra su: Giàn su su; Boh su: Quả su su.
Sua (đgt)	Lấy lại
Sua mă (đgt)	Chiếm lấy.
Sua wĭt (đgt)	Giành lại.
Suah (dt)	Sậy. Rơ\k suah: Cỏ sậy.
Suai	I. (dt) ana suai: cây xịi; boh suai: quả xịi.
	Ii. (đgt) lấy ra
Suai săk (đgt)	Lục lọi. Suai săk mnơ\ng mnuă: Lục lọi đồ đạc.
Suaih (tt)	Khoẻ. Ih suaih asei mlei mơ\?: Anh có khoẻ không?
Suaih pral (tt) 	Khoẻ mạnh. Aáu suaih pral na nao: Nó luôn luôn khoẻ mạnh.
Suan (dt)	Vàng tây. Kông suan: Vòng băôûng vàng tây.
Suă (đgt)	Giãn. Suă awăt ariêng: Giãn gân cốt. 
Suăi (tt)	Vất vả. Mă bruă suăi: Làm việc vất vả. 
Suăi ñam (tt)	Cực nhọc. Mă bruă suăi yûam: Làm việc cực nhọc.
Suăl (tt)	Lầm. Kâo suăl yûu ho\ng pô mkăn: Tôi lầm nó với người khác.
Suăng (đgt)	Vứt đi.
Suăp (đgt)	Xục vào. Mu\t suăp hlăm sang: Xục vào trong nhà.
Suăr (tt)	Tỉnh táo
Suăt suang (đgt)	Xục xạo. Hiu suăt suang hlăm kmrơ\ng: Xục xạo trong rừng.
Suê 	I. (dt) cái lờ
	Ii. (đgt) soi lỗ. Suê [ăng lir: soi lỗ (hang) dế trũi.
	Iii. Mới trổ còn non. Ana boh suê diê: quả mới nhuô còn non.
Suê bruê (tt)	Lẻ tẻ. Mnuih hriê suê bruê: Người đến lẻ tẻ. 
Suêñ 	I. (đgt) bện. Suêyû klei ku\i: bện dây thừng.
	Ii. (tt) đẹp. {o# mta suêyû: mặt mũi đẹp.
Suê̆ (đgt)	1. Nhổ. Sue# msei kđyøn: Nhổ đinh.
	2. Ruôt. Sue# đao gưm: Ruôt kiếm.
Suh sah (tt)	Hùng dũng
Sui sĭn (tt)	Lâu lăc.
Sui sĭt sui sĭn (tt)	Lâu lăc lâu lơ.
Sul (đgt)	Xới. Sul mbuôn djam: Xới luống rau.
Sun (đgt)	Lót. Sun ktat kơ mnu\: Lót ổ cho gà; Sun dôk: Lót ngồi.
Suôn (dt)	Vạt tranh cũ
Suôp (tt)	Xốp. Boh krue# suôp: Quả cam bị xốp.
Suôr	I. (dt) vỏ
	Ii. (tt) giáp liền
Suôt (đgt)	Đuổi. Suôt wyøt kơ sang: đuổi về nhà.
Suôt sông (đgt)	Xua đuổi.
Sur êwa (đgt)	Thở.
Sut	I. (dt) mnal sut: giẻ lau.
	Ii. (đgt) lau
Sut dhông (đgt) 	Lau chùi.
Sŭk (dt)	Klang su\k: Xương sườn.
Sŭk suôr (tt) 	Chân thành. Ai tiê su\k suôr: Lòng chân thành.
Sŭl (tt)	Tốt quá mức. Mdiê su\l: Luôa tốt quá mức.
Sŭm (đgt) 	Vùi. Su\m rơ\k: Vùi cỏ. 
Sŭm klŭm (đgt)	Vùi lấp.
Sŭn (đgt)	Chồng lên nhau. Su\n ]hiên: Chồng cheôn lên nhau.
Sŭp (dt)	Phở. {ơ\ng su\p: aûn phở.
Sŭr (đgt)	Vượt qua. Eùdeh blă su\r: Xe vượt qua (rất nhanh).
Sŭt (dt)	Hluăt su\t: Sâu róm.
Sưh (đgt)	Đuổi. 
Sưh đuê̆	Đuổi đi khỏi.
Sưk (đgt)	Xước. Mnal sưk: Vải bị xước. 
Sưk sak (đgt) 	Xây xước.
Sưp (dt)	Ana sưp: Cây chôm chôm; Boh sưp: Quả chôm chôm.
Sư̆ (đgt)	Xê ra. Sư\ kơ adih: Xê ra bên kia.
    	 
T	 
	 
Ta ală (dt)	Chột măt 
